Brand,Model_Name,Year_of_Launch,Purchase_Price_INR,Predicted_Current_Value_INR
Samsung,Galaxy S21,2019,84260,9730
Realme,Realme 9,2022,109201,32450
Apple,iPhone 13,2021,8148,3861
Vivo,Vivo V21,2024,98888,67553
Vivo,Vivo Y20,2020,124632,16415
Xiaomi,Mi 11X,2024,19402,11569
Xiaomi,Redmi Note 10,2022,123435,37493
Oppo,Oppo A53,2022,24488,8215
Nokia,Nokia 6.2,2018,36376,1807
Samsung,Galaxy A52,2020,104887,13220
Apple,iPhone 13,2020,11112,3066
Realme,Realme Narzo 50,2024,12665,5822
Oppo,Oppo A53,2022,109313,34215
Nokia,Nokia G20,2023,106551,49495
Xiaomi,Redmi Note 11,2018,84553,4990
Realme,Realme GT,2022,51467,18343
Realme,Realme Narzo 50,2022,72544,23095
Xiaomi,Redmi Note 10,2020,64143,6121
Vivo,Vivo V20,2020,78721,9181
Xiaomi,Redmi Note 11,2021,27118,8060
Nokia,Nokia 5.4,2023,48356,23422
Samsung,Galaxy S22,2024,40738,26132
Motorola,Moto G71,2021,60805,12417
Nokia,Nokia G20,2024,33403,20038
Realme,Realme 8,2021,122898,25814
Motorola,Moto G60,2020,39348,5784
Vivo,Vivo V20,2024,16542,9757
OnePlus,OnePlus Nord,2024,43753,31018
Samsung,Galaxy S21,2022,26755,10085
Vivo,Vivo Y20,2022,57070,19102
OnePlus,OnePlus 9,2021,10841,150
Nokia,Nokia 6.2,2021,14187,638
Motorola,Moto G60,2018,100368,8686
Realme,Realme 9,2024,70894,48659
Xiaomi,Mi 11X,2018,16092,-1455
Apple,iPhone 11,2024,80726,52317
Apple,iPhone 11,2021,29235,4303
Xiaomi,Redmi Note 10,2018,78410,2783
Motorola,Moto Edge 20,2018,17091,-222
OnePlus,OnePlus 8,2024,17779,9260
Apple,iPhone 14,2023,48354,20699
Samsung,Galaxy S21,2018,14230,2579
Realme,Realme 8,2018,62021,1574
Samsung,Galaxy S21,2020,78766,9006
Realme,Realme GT,2019,11561,1680
Xiaomi,Redmi Note 10,2023,87315,40794
Realme,Realme GT,2024,70232,47768
Realme,Realme 9,2022,62386,19818
Motorola,Moto Edge 20,2024,86127,60291
Vivo,Vivo V21,2018,94355,4245
Motorola,Moto G71,2021,115842,20844
Vivo,Vivo V21,2020,19108,1954
Realme,Realme 9,2020,93768,11015
Samsung,Galaxy A52,2020,60205,6281
Nokia,Nokia G20,2019,84607,9441
OnePlus,OnePlus Nord,2022,62004,18080
Samsung,Galaxy A52,2022,112659,31519
Vivo,Vivo V21,2022,22254,6648
Samsung,Galaxy S22,2022,92096,27619
Motorola,Moto G71,2022,114749,32755
Samsung,Galaxy S22,2019,34424,4599
Nokia,Nokia 5.4,2023,39209,16444
Vivo,Vivo V21,2018,70474,1590
Realme,Realme 9,2024,113394,78375
Nokia,Nokia G20,2022,22281,7437
OnePlus,OnePlus 10R,2018,73658,7416
Samsung,Galaxy S20,2020,37058,6798
Xiaomi,Mi 10,2023,120685,53918
Motorola,Moto G71,2018,40869,416
Oppo,Oppo F21,2020,31446,2674
Nokia,Nokia 5.4,2021,67984,11829
Vivo,Vivo Y20,2020,113060,17574
Oppo,Oppo A53,2018,48116,1153
Oppo,Oppo F19,2024,93429,61564
Oppo,Oppo A53,2022,35596,11956
Samsung,Galaxy S20,2021,124698,26058
Vivo,Vivo V21,2018,83036,6060
Samsung,Galaxy A52,2020,38439,2601
Apple,iPhone 12,2018,18362,3831
Realme,Realme Narzo 50,2022,100697,29989
Nokia,Nokia G20,2018,122474,5216
Apple,iPhone 14,2020,73812,7688
Samsung,Galaxy S20,2020,62024,10178
Samsung,Galaxy S21,2018,67615,4996
Realme,Realme 8,2022,41421,12514
Apple,iPhone 14,2024,116903,79936
OnePlus,OnePlus 10R,2018,85130,6075
Realme,Realme 8,2024,99555,69319
Apple,iPhone 11,2018,103433,6864
Realme,Realme Narzo 50,2022,52118,13486
Nokia,Nokia 6.2,2024,22851,18154
Samsung,Galaxy A52,2022,17904,4753
Oppo,Oppo F19,2021,27398,4095
Samsung,Galaxy S21,2021,111271,24130
Vivo,Vivo X60,2024,20262,14456
Realme,Realme GT,2019,9173,2385
Apple,iPhone 11,2024,69421,46879
Apple,iPhone 11,2021,35257,5012
Motorola,Moto G71,2022,36770,13907
Vivo,Vivo V21,2021,55249,11846
Nokia,Nokia 5.4,2023,19939,9755
Apple,iPhone 13,2024,90999,60436
Oppo,Oppo Reno 6,2023,110200,47505
Motorola,Moto Edge 20,2020,10914,2012
Xiaomi,Mi 10,2019,89190,6703
Apple,iPhone 12,2020,56380,8920
Oppo,Oppo Reno 6,2018,41252,242
Vivo,Vivo X60,2020,123554,17969
Samsung,Galaxy A52,2022,66209,21308
Vivo,Vivo Y20,2018,102909,7801
Xiaomi,Mi 10,2022,12948,3838
Motorola,Moto G71,2022,20944,9174
Motorola,Moto G60,2024,45613,31465
Vivo,Vivo X60,2023,52978,23484
Apple,iPhone 13,2022,102365,30124
Samsung,Galaxy A52,2019,33347,3259
Nokia,Nokia 5.4,2024,84902,56602
Apple,iPhone 13,2020,94762,10452
Samsung,Galaxy S20,2018,117059,10076
Realme,Realme 8,2021,54691,10737
Motorola,Moto Edge 20,2018,39302,-454
Samsung,Galaxy S20,2022,59150,16140
Motorola,Moto Edge 20,2019,16161,-712
Xiaomi,Redmi Note 11,2024,22439,13853
Vivo,Vivo V20,2019,28582,4575
Motorola,Moto G71,2023,80845,34390
Apple,iPhone 12,2021,20205,3610
Oppo,Oppo F19,2022,86403,24714
Apple,iPhone 12,2019,63113,7261
OnePlus,OnePlus 9,2020,12491,-499
Motorola,Moto Edge 20,2021,119994,25738
Xiaomi,Redmi Note 11,2024,36678,23151
Nokia,Nokia 5.4,2018,8567,-561
Xiaomi,Mi 11X,2023,37871,14426
Oppo,Oppo F19,2019,65906,6559
Samsung,Galaxy A52,2019,120331,9624
Xiaomi,Mi 11X,2023,119521,55479
Oppo,Oppo F19,2024,87377,60865
Xiaomi,Mi 10,2018,22168,4068
Realme,Realme GT,2018,22615,3763
OnePlus,OnePlus 10R,2018,101269,3278
OnePlus,OnePlus 8,2020,8369,1245
OnePlus,OnePlus 10R,2023,103458,45484
Apple,iPhone 14,2022,41512,15281
OnePlus,OnePlus 8,2022,56668,14953
Apple,iPhone 12,2019,54924,4757
Vivo,Vivo V20,2019,50138,5479
Xiaomi,Redmi Note 10,2021,14740,3140
Realme,Realme GT,2020,114237,13265
Samsung,Galaxy S20,2018,64152,1725
Xiaomi,Mi 11X,2020,23304,4012
Oppo,Oppo Reno 6,2023,73159,31211
OnePlus,OnePlus Nord,2019,53087,2376
Vivo,Vivo V20,2022,33946,8596
OnePlus,OnePlus 10R,2022,52330,16748
Realme,Realme GT,2019,17222,1081
Oppo,Oppo A53,2022,104640,34500
Motorola,Moto Edge 20,2023,105601,48576
Motorola,Moto Edge 20,2023,80664,37954
Samsung,Galaxy S20,2023,105146,48944
Apple,iPhone 12,2020,45584,7919
Realme,Realme 8,2021,79828,15901
Motorola,Moto Edge 20,2021,22890,2270
OnePlus,OnePlus 8,2023,122138,55730
Oppo,Oppo F19,2023,124182,55741
OnePlus,OnePlus Nord,2019,92398,9250
Apple,iPhone 14,2019,63468,3610
Nokia,Nokia 6.2,2021,67815,16516
Motorola,Moto G71,2024,64151,45087
Samsung,Galaxy S22,2018,67824,7050
Vivo,Vivo V21,2019,91480,8386
OnePlus,OnePlus 10R,2024,29341,18739
OnePlus,OnePlus Nord,2024,43227,30625
Xiaomi,Redmi Note 10,2024,122499,84047
Vivo,Vivo X60,2019,77372,5249
OnePlus,OnePlus 10R,2019,100498,10674
Nokia,Nokia G20,2018,86799,3081
Realme,Realme Narzo 50,2020,100410,12175
Vivo,Vivo Y20,2023,14284,8941
Nokia,Nokia G20,2020,60181,10856
Samsung,Galaxy A52,2018,126072,10280
Oppo,Oppo A53,2018,41991,1218
Xiaomi,Mi 11X,2021,16141,2533
Vivo,Vivo X60,2019,68457,5173
Xiaomi,Mi 10,2018,56841,5509
Samsung,Galaxy A52,2024,127685,87317
Samsung,Galaxy S21,2018,28789,825
Nokia,Nokia 7.2,2019,59962,6766
Vivo,Vivo V21,2022,24064,4520
Oppo,Oppo F19,2023,95747,42134
OnePlus,OnePlus 9,2023,44148,22089
Motorola,Moto G71,2019,112111,11914
Apple,iPhone 13,2021,17831,3750
Samsung,Galaxy S20,2024,106133,68784
Realme,Realme 9,2021,96882,19374
Samsung,Galaxy S21,2023,61049,27839
Motorola,Moto G60,2022,65013,17170
Oppo,Oppo F19,2022,124993,35015
Samsung,Galaxy S20,2024,111946,73825
OnePlus,OnePlus 8,2024,98921,66678
Motorola,Moto E40,2023,16658,8678
OnePlus,OnePlus 8,2024,17426,11245
Apple,iPhone 11,2021,117853,23030
Realme,Realme 8,2021,82592,17878
Oppo,Oppo F21,2024,55698,36013
Oppo,Oppo F21,2018,76048,7593
Samsung,Galaxy S20,2019,12384,1873
Motorola,Moto E40,2024,108160,74416
Apple,iPhone 12,2021,42770,8293
Apple,iPhone 12,2023,114579,52986
Xiaomi,Mi 10,2020,46844,4910
Apple,iPhone 12,2020,67086,6336
Xiaomi,Redmi Note 11,2024,59531,42178
Realme,Realme GT,2021,75167,13808
Apple,iPhone 12,2024,100363,67137
Realme,Realme 8,2019,97708,9722
Nokia,Nokia 6.2,2022,122806,35914
Apple,iPhone 13,2021,32679,7812
Vivo,Vivo X60,2024,38706,23485
Realme,Realme 8,2019,123290,11431
Xiaomi,Mi 10,2021,59822,9498
Nokia,Nokia G20,2022,35217,11408
Xiaomi,Mi 10,2018,91824,4777
OnePlus,OnePlus 9,2020,45840,3558
Samsung,Galaxy S21,2018,116749,7298
Realme,Realme GT,2018,30715,1566
Realme,Realme Narzo 50,2019,61636,3661
Motorola,Moto E40,2024,9850,3960
Apple,iPhone 11,2024,27331,16598
OnePlus,OnePlus Nord,2020,95228,12809
Xiaomi,Mi 11X,2023,27678,14284
Motorola,Moto G60,2022,74184,19463
Oppo,Oppo F21,2020,73834,10100
OnePlus,OnePlus 9,2024,43038,31701
Nokia,Nokia 6.2,2021,92576,20299
Vivo,Vivo X60,2019,39733,2287
Samsung,Galaxy S21,2024,77521,53448
Samsung,Galaxy S21,2021,69798,14307
Samsung,Galaxy S22,2023,14761,4851
Motorola,Moto G60,2023,45102,19089
OnePlus,OnePlus 10R,2024,84063,57759
Vivo,Vivo X60,2021,92318,17790
Nokia,Nokia 5.4,2020,77372,7997
Oppo,Oppo Reno 6,2023,64645,28159
Realme,Realme Narzo 50,2018,44200,4673
Motorola,Moto G71,2022,117126,38281
Vivo,Vivo V20,2022,12036,1304
Motorola,Moto G60,2019,115122,11310
Apple,iPhone 12,2018,89836,3484
Motorola,Moto Edge 20,2022,24705,6803
Motorola,Moto G71,2019,93867,10864
Vivo,Vivo V21,2022,59837,16318
Xiaomi,Mi 11X,2021,63050,15085
Xiaomi,Mi 11X,2019,75712,7220
Realme,Realme GT,2022,94208,27503
Xiaomi,Redmi Note 11,2020,63526,5648
Realme,Realme 9,2019,96119,11164
Motorola,Moto E40,2018,84072,2752
Motorola,Moto G60,2020,115388,18300
Vivo,Vivo V21,2022,125484,39581
Apple,iPhone 13,2019,124318,12554
Motorola,Moto G60,2018,20407,4021
OnePlus,OnePlus 9,2020,115097,16028
Oppo,Oppo Reno 6,2020,32337,7047
Realme,Realme Narzo 50,2024,12885,6705
Oppo,Oppo A53,2022,115323,32227
OnePlus,OnePlus Nord,2024,100992,69363
Oppo,Oppo A53,2023,75822,33568
Samsung,Galaxy S21,2020,9809,-697
OnePlus,OnePlus 8,2018,23897,119
Vivo,Vivo X60,2024,119455,81272
Nokia,Nokia 6.2,2021,63424,9889
Vivo,Vivo X60,2023,27415,15220
Xiaomi,Redmi Note 11,2019,46418,6065
Oppo,Oppo F21,2020,107396,15149
Samsung,Galaxy S22,2023,67813,31282
Samsung,Galaxy S22,2019,80793,5115
Xiaomi,Redmi Note 11,2019,78379,4460
Apple,iPhone 13,2022,121728,33836
Samsung,Galaxy S22,2022,69598,20115
Apple,iPhone 13,2019,122634,11317
OnePlus,OnePlus 8,2023,104628,44127
Oppo,Oppo F19,2018,93831,3785
Xiaomi,Mi 10,2022,104454,31236
Vivo,Vivo X60,2023,48950,22611
Xiaomi,Mi 10,2023,119705,52637
Xiaomi,Mi 10,2024,120412,78264
Nokia,Nokia 7.2,2019,113013,10317
Xiaomi,Redmi Note 10,2023,13353,4893
Vivo,Vivo X60,2022,106141,32619
Motorola,Moto Edge 20,2023,43015,21336
Motorola,Moto E40,2024,48724,34367
Oppo,Oppo A53,2019,106462,7753
Oppo,Oppo A53,2021,53140,8494
Realme,Realme 8,2023,53252,21101
Motorola,Moto G60,2022,103786,33494
Vivo,Vivo X60,2021,23725,3345
Oppo,Oppo A53,2018,84743,3985
OnePlus,OnePlus 10R,2024,38521,22888
Oppo,Oppo F21,2018,103007,4153
Vivo,Vivo V21,2022,107912,34190
Motorola,Moto E40,2020,101745,12975
Nokia,Nokia G20,2021,60139,11277
Vivo,Vivo X60,2023,52668,24345
Vivo,Vivo V20,2020,113417,13788
Xiaomi,Redmi Note 10,2023,38457,15583
Samsung,Galaxy S22,2020,13957,1317
Oppo,Oppo F19,2018,66135,1316
Motorola,Moto E40,2022,119716,33454
Motorola,Moto Edge 20,2021,128348,26582
Vivo,Vivo V20,2020,26555,3458
Samsung,Galaxy S20,2022,100554,29019
Apple,iPhone 14,2023,121913,52956
Xiaomi,Redmi Note 10,2024,40095,27369
Xiaomi,Mi 10,2020,74466,8173
OnePlus,OnePlus 9,2022,60699,17252
Realme,Realme 8,2022,88712,26593
Nokia,Nokia G20,2021,63583,15582
Samsung,Galaxy S22,2024,111521,72869
Xiaomi,Redmi Note 10,2021,98851,18309
Nokia,Nokia 6.2,2021,74004,16212
Realme,Realme 9,2023,9153,3653
Samsung,Galaxy S20,2018,91405,4620
OnePlus,OnePlus Nord,2020,59739,10012
Nokia,Nokia 6.2,2021,105658,18918
Motorola,Moto G60,2022,118194,36962
Nokia,Nokia 5.4,2018,59214,4530
Nokia,Nokia G20,2021,50797,9180
Realme,Realme 8,2020,38846,2564
Vivo,Vivo Y20,2023,87633,42308
Realme,Realme 9,2023,59987,27631
Oppo,Oppo F21,2020,51688,4726
Nokia,Nokia 7.2,2018,96863,7348
Nokia,Nokia 6.2,2022,114002,32668
Realme,Realme Narzo 50,2024,9687,6464
Motorola,Moto E40,2019,97055,7730
Apple,iPhone 14,2022,45823,13287
OnePlus,OnePlus 9,2021,36487,7188
Nokia,Nokia 5.4,2020,110634,12204
Xiaomi,Mi 11X,2019,75799,4588
Oppo,Oppo A53,2020,23709,684
OnePlus,OnePlus 9,2020,114829,15694
Oppo,Oppo A53,2020,25641,3030
Samsung,Galaxy S20,2023,40628,18539
OnePlus,OnePlus 10R,2021,108743,19490
Xiaomi,Mi 10,2022,19747,8746
Nokia,Nokia 5.4,2021,77201,17718
Nokia,Nokia G20,2022,87444,26179
Samsung,Galaxy S22,2018,100459,8437
Samsung,Galaxy S22,2024,24408,18147
Xiaomi,Redmi Note 11,2021,99574,17319
OnePlus,OnePlus 9,2019,51415,7067
Motorola,Moto Edge 20,2019,75671,6203
Nokia,Nokia G20,2021,86210,15326
Apple,iPhone 12,2022,59580,20306
Vivo,Vivo V21,2020,90006,14726
Samsung,Galaxy S20,2021,41918,10633
Oppo,Oppo Reno 6,2019,126822,11179
Realme,Realme 9,2021,11016,-431
Realme,Realme GT,2024,97883,63006
Xiaomi,Redmi Note 11,2020,20379,4173
Vivo,Vivo X60,2022,104106,32295
Motorola,Moto E40,2022,95278,29276
Samsung,Galaxy A52,2019,117506,11324
Xiaomi,Mi 10,2019,93799,6349
Samsung,Galaxy S20,2021,20758,4961
OnePlus,OnePlus Nord,2020,88911,12351
Apple,iPhone 14,2023,82254,35794
Apple,iPhone 13,2020,22339,4825
Motorola,Moto G60,2024,62709,42282
Apple,iPhone 12,2022,86318,25436
Apple,iPhone 11,2022,100288,33273
Nokia,Nokia G20,2019,115761,11937
Vivo,Vivo X60,2023,43091,20110
OnePlus,OnePlus Nord,2019,68671,8486
Samsung,Galaxy S20,2023,95496,42647
Xiaomi,Redmi Note 10,2024,86516,58409
Motorola,Moto E40,2020,15236,1860
Realme,Realme Narzo 50,2018,113641,9146
Samsung,Galaxy S21,2022,59603,15939
Apple,iPhone 14,2021,85435,15442
Motorola,Moto G60,2019,124098,13435
OnePlus,OnePlus 8,2019,45026,5803
Motorola,Moto G71,2021,17004,1991
OnePlus,OnePlus Nord,2021,45122,6261
OnePlus,OnePlus 9,2024,106277,73271
Motorola,Moto G60,2022,110588,31939
Realme,Realme Narzo 50,2023,126380,58919
Samsung,Galaxy A52,2018,59682,1050
OnePlus,OnePlus Nord,2020,107273,15322
Oppo,Oppo F21,2019,47229,6562
Realme,Realme 9,2020,70675,10675
Nokia,Nokia 6.2,2019,22671,1107
Nokia,Nokia 7.2,2019,89125,6162
Motorola,Moto G71,2020,113680,14476
Xiaomi,Redmi Note 10,2019,63690,5380
OnePlus,OnePlus 9,2019,8128,294
Vivo,Vivo Y20,2020,103406,13729
Nokia,Nokia G20,2019,115335,13090
Motorola,Moto G60,2020,98185,13149
Realme,Realme Narzo 50,2024,69343,47067
OnePlus,OnePlus 10R,2023,112023,48211
Vivo,Vivo V21,2021,34341,4187
Oppo,Oppo A53,2023,77606,34543
Vivo,Vivo X60,2018,53017,5258
Motorola,Moto G60,2024,102491,67664
OnePlus,OnePlus 10R,2024,52659,33190
Vivo,Vivo V21,2018,105886,7624
Vivo,Vivo V21,2023,43652,19023
Vivo,Vivo X60,2020,65461,8240
Xiaomi,Mi 10,2021,19544,4947
Nokia,Nokia 7.2,2018,26891,1470
Nokia,Nokia 5.4,2019,113492,9374
Motorola,Moto Edge 20,2024,48420,34296
Xiaomi,Redmi Note 11,2019,63705,5851
Realme,Realme 8,2024,48149,29790
Apple,iPhone 11,2024,127513,84364
Motorola,Moto G71,2024,17527,9931
Realme,Realme Narzo 50,2018,91274,5884
OnePlus,OnePlus Nord,2022,18274,6784
Oppo,Oppo Reno 6,2020,74427,7705
Nokia,Nokia 6.2,2022,85170,26148
Nokia,Nokia 5.4,2018,40049,2467
Apple,iPhone 11,2019,15368,3506
Apple,iPhone 12,2021,19808,1365
Realme,Realme 8,2022,35829,11125
Oppo,Oppo A53,2018,39200,734
Realme,Realme 8,2022,81873,24870
Vivo,Vivo V21,2024,45255,28206
Apple,iPhone 12,2021,106004,19152
Vivo,Vivo X60,2018,39893,1617
Vivo,Vivo V20,2022,31988,7898
Motorola,Moto Edge 20,2018,97732,3378
Vivo,Vivo X60,2023,37922,16520
Nokia,Nokia 6.2,2019,118947,10283
Apple,iPhone 12,2022,111284,31759
Samsung,Galaxy S22,2022,41891,13461
Motorola,Moto G60,2020,67365,6196
Realme,Realme GT,2023,26742,13437
Apple,iPhone 13,2020,113121,17558
Apple,iPhone 12,2019,106481,11369
Realme,Realme 9,2020,56472,6840
Motorola,Moto E40,2022,19754,4181
Realme,Realme 9,2023,84545,36756
Xiaomi,Redmi Note 11,2021,35883,7932
Nokia,Nokia 5.4,2018,114138,7713
Oppo,Oppo Reno 6,2021,28802,6520
Samsung,Galaxy S20,2020,70821,7171
Xiaomi,Redmi Note 10,2021,113704,23248
OnePlus,OnePlus 10R,2023,11893,4412
Nokia,Nokia 5.4,2021,34965,8979
Samsung,Galaxy S22,2023,37719,17268
Nokia,Nokia G20,2024,14673,7601
OnePlus,OnePlus Nord,2021,117867,21354
Xiaomi,Redmi Note 10,2019,64650,5179
OnePlus,OnePlus 10R,2020,37448,4863
OnePlus,OnePlus Nord,2019,115150,8215
Nokia,Nokia 5.4,2019,15060,-411
Realme,Realme 9,2020,106245,15793
Motorola,Moto G60,2023,128806,58497
Motorola,Moto G71,2023,72441,30215
Vivo,Vivo V21,2024,61140,41586
Nokia,Nokia G20,2019,63824,3703
Nokia,Nokia 5.4,2024,49715,30865
Oppo,Oppo F19,2020,13144,828
Motorola,Moto Edge 20,2024,76832,52891
Vivo,Vivo Y20,2019,12471,3025
Apple,iPhone 12,2019,86768,8197
Realme,Realme Narzo 50,2023,104465,48020
Xiaomi,Redmi Note 10,2019,112657,10445
OnePlus,OnePlus 10R,2022,37078,9863
Apple,iPhone 11,2023,128378,59647
Vivo,Vivo X60,2018,64997,3272
Nokia,Nokia G20,2020,53393,6461
Vivo,Vivo X60,2021,87254,19611
Motorola,Moto G60,2020,76006,9596
Oppo,Oppo F21,2022,7762,567
Motorola,Moto E40,2024,18883,13268
Realme,Realme 9,2022,13908,3230
Nokia,Nokia 5.4,2021,121634,22380
Samsung,Galaxy S22,2022,65384,17130
Motorola,Moto E40,2023,57160,26958
Apple,iPhone 14,2024,28369,19260
Vivo,Vivo X60,2018,105234,4658
Nokia,Nokia 6.2,2020,67489,11005
Motorola,Moto E40,2022,71191,21241
Vivo,Vivo X60,2019,61601,4856
Apple,iPhone 11,2024,102257,69297
Xiaomi,Redmi Note 11,2023,47930,20131
Oppo,Oppo F21,2022,49317,16652
Apple,iPhone 13,2021,57123,13023
Nokia,Nokia G20,2021,59915,13893
Realme,Realme GT,2023,96310,43859
Samsung,Galaxy S21,2021,104635,18974
Nokia,Nokia G20,2022,47448,12875
Nokia,Nokia G20,2019,98985,8437
Realme,Realme Narzo 50,2022,72421,20522
Apple,iPhone 12,2021,13168,3861
Realme,Realme GT,2024,29489,17610
Nokia,Nokia 7.2,2020,22451,3455
Samsung,Galaxy S21,2021,64826,13785
Xiaomi,Redmi Note 10,2023,45263,19379
Nokia,Nokia G20,2021,108300,23747
Motorola,Moto E40,2022,62347,18939
Motorola,Moto E40,2018,25337,2295
Vivo,Vivo X60,2023,87983,41768
OnePlus,OnePlus 9,2019,103915,9772
Apple,iPhone 14,2020,116037,15638
Realme,Realme 9,2021,21052,3685
OnePlus,OnePlus 10R,2020,28916,994
Xiaomi,Mi 10,2021,68499,12352
Samsung,Galaxy S20,2022,107182,30271
Motorola,Moto Edge 20,2020,44897,8150
Motorola,Moto G71,2024,59016,38908
Realme,Realme Narzo 50,2022,61850,17208
Nokia,Nokia 7.2,2024,36191,23152
Oppo,Oppo F21,2022,15308,6253
Nokia,Nokia 5.4,2021,129837,26379
Oppo,Oppo F21,2018,35186,4192
Motorola,Moto Edge 20,2020,26213,3541
Realme,Realme 8,2020,59044,8696
Realme,Realme GT,2024,124906,83774
Motorola,Moto G60,2021,48619,11296
Motorola,Moto G60,2022,13406,6041
Xiaomi,Redmi Note 11,2021,118426,22296
Xiaomi,Redmi Note 11,2024,59771,38664
Samsung,Galaxy S22,2021,77550,14402
OnePlus,OnePlus 10R,2022,78436,26230
Samsung,Galaxy S20,2022,34215,12243
Oppo,Oppo F19,2020,104356,15944
Oppo,Oppo F21,2020,81619,13594
OnePlus,OnePlus 8,2021,120350,22423
Oppo,Oppo A53,2018,116499,5696
Xiaomi,Redmi Note 11,2022,95346,31769
Motorola,Moto Edge 20,2022,14469,4540
Motorola,Moto G71,2018,42130,735
Vivo,Vivo X60,2020,55141,10058
OnePlus,OnePlus 8,2020,99535,13613
Oppo,Oppo F19,2020,111097,16674
OnePlus,OnePlus Nord,2023,59851,26353
Vivo,Vivo V20,2018,54306,1177
Motorola,Moto E40,2018,73888,4602
Vivo,Vivo Y20,2024,108372,73986
Oppo,Oppo F19,2018,20754,3873
Nokia,Nokia 7.2,2021,117337,25824
Oppo,Oppo A53,2019,118987,11327
Motorola,Moto G60,2019,121370,8877
Xiaomi,Redmi Note 10,2023,89188,43030
Oppo,Oppo F21,2023,77439,36331
Xiaomi,Mi 10,2018,103833,7912
Apple,iPhone 13,2021,29427,4079
OnePlus,OnePlus 9,2022,60293,17847
Vivo,Vivo X60,2020,40734,6882
Nokia,Nokia 6.2,2022,62126,15982
Apple,iPhone 13,2019,64065,7718
OnePlus,OnePlus 9,2018,56780,1452
Vivo,Vivo V20,2022,38738,9142
OnePlus,OnePlus 9,2019,49150,6174
Apple,iPhone 14,2018,89343,3778
Apple,iPhone 12,2024,49994,31885
Vivo,Vivo X60,2019,58802,2395
Realme,Realme 8,2024,104380,68019
Xiaomi,Mi 10,2021,42532,9633
Vivo,Vivo V21,2021,46738,9044
Nokia,Nokia 5.4,2018,30201,2885
Samsung,Galaxy S20,2020,22786,2700
Nokia,Nokia 6.2,2020,11607,-545
Motorola,Moto G71,2020,126294,14310
Nokia,Nokia G20,2020,24646,3775
Xiaomi,Redmi Note 10,2022,118906,35853
Nokia,Nokia 7.2,2023,91058,42760
Realme,Realme GT,2024,71038,47804
Vivo,Vivo V21,2022,8820,2898
Nokia,Nokia 7.2,2021,54611,12085
Motorola,Moto G60,2020,66695,6417
Motorola,Moto G71,2021,64934,14383
OnePlus,OnePlus 8,2021,14388,1104
Apple,iPhone 14,2019,30606,2283
OnePlus,OnePlus 8,2020,96012,11083
Oppo,Oppo A53,2024,53546,34953
Samsung,Galaxy S20,2021,104954,18874
Realme,Realme 8,2022,13945,4074
Motorola,Moto G71,2020,13309,1939
Xiaomi,Redmi Note 11,2018,101968,3567
Nokia,Nokia 7.2,2022,88966,29483
Oppo,Oppo Reno 6,2019,47917,6066
Vivo,Vivo V21,2022,128171,38510
Nokia,Nokia 5.4,2021,25889,8072
Apple,iPhone 13,2022,110430,31017
OnePlus,OnePlus 8,2021,94630,20877
Oppo,Oppo F21,2019,32061,568
Samsung,Galaxy S20,2023,101427,45588
Xiaomi,Mi 10,2022,45193,14894
Xiaomi,Redmi Note 10,2024,23209,14221
Oppo,Oppo Reno 6,2023,15335,8460
Oppo,Oppo A53,2022,67082,20989
Vivo,Vivo X60,2024,53988,35859
Motorola,Moto G60,2024,67947,48319
Oppo,Oppo F21,2020,40619,5259
Realme,Realme 9,2022,100618,33066
Vivo,Vivo V21,2024,93550,63966
Samsung,Galaxy A52,2024,102852,69560
Nokia,Nokia 6.2,2022,50817,17359
Motorola,Moto Edge 20,2021,95994,17006
Apple,iPhone 13,2020,102214,11945
Apple,iPhone 13,2024,111391,71901
Oppo,Oppo F19,2022,77640,24739
Realme,Realme 9,2024,98477,68234
Vivo,Vivo Y20,2018,104297,3656
OnePlus,OnePlus 9,2020,107316,17482
Xiaomi,Redmi Note 11,2024,26976,18892
OnePlus,OnePlus Nord,2019,50937,4162
Motorola,Moto G60,2020,92586,10002
Apple,iPhone 13,2019,50313,7091
OnePlus,OnePlus 10R,2022,117234,36410
Nokia,Nokia 5.4,2021,47542,11522
Vivo,Vivo V20,2023,94076,41589
Xiaomi,Mi 10,2023,54724,24893
Samsung,Galaxy S21,2022,125991,39544
Vivo,Vivo V21,2018,63577,5852
Realme,Realme GT,2018,127688,9377
Motorola,Moto E40,2020,96285,14321
Motorola,Moto E40,2023,58991,26732
Vivo,Vivo Y20,2020,8599,2020
Xiaomi,Mi 11X,2022,127655,37835
OnePlus,OnePlus 9,2020,65654,10861
Apple,iPhone 11,2024,40207,24594
Samsung,Galaxy S20,2019,83208,7189
OnePlus,OnePlus Nord,2023,129443,56372
Motorola,Moto G71,2018,64004,2496
Xiaomi,Redmi Note 11,2020,117058,13912
Apple,iPhone 12,2021,92619,19961
Realme,Realme Narzo 50,2022,17350,5400
Realme,Realme Narzo 50,2024,65071,42095
Xiaomi,Redmi Note 10,2023,80130,34576
Samsung,Galaxy S20,2023,104848,46395
Motorola,Moto Edge 20,2024,62322,39919
Nokia,Nokia 5.4,2023,92683,39746
Realme,Realme 9,2018,52031,4435
Apple,iPhone 12,2019,29534,4886
Nokia,Nokia 6.2,2020,59357,8784
Xiaomi,Redmi Note 10,2020,40031,4093
Oppo,Oppo A53,2018,98703,6249
Motorola,Moto G71,2021,90806,20723
Apple,iPhone 14,2023,89912,39318
