Brand,Model_Name,Year_of_Launch,Purchase_Price_INR,Predicted_Current_Value_INR
Motorola,Moto Edge 20,2018,76648,5787
OnePlus,OnePlus 10R,2019,69624,7082
Apple,iPhone 13,2020,56664,7786
Vivo,Vivo X60,2023,34632,16417
Apple,iPhone 12,2024,121255,82078
Oppo,Oppo F19,2023,120395,55701
OnePlus,OnePlus Nord,2018,73010,5583
OnePlus,OnePlus 8,2020,41765,7021
Vivo,Vivo X60,2020,111170,12693
Motorola,Moto Edge 20,2018,58971,3632
Xiaomi,Redmi Note 11,2022,8670,3110
Xiaomi,Redmi Note 11,2024,68889,47853
Vivo,Vivo V20,2020,100232,14848
Oppo,Oppo A53,2022,89526,26305
Realme,Realme Narzo 50,2023,47000,19144
Realme,Realme Narzo 50,2019,68680,7320
Xiaomi,Mi 11X,2024,104887,72076
Vivo,Vivo X60,2019,53623,2551
Vivo,Vivo V21,2020,59793,10060
Apple,iPhone 14,2021,26963,4807
Xiaomi,Mi 10,2020,108103,12119
Realme,Realme 8,2021,80090,18490
Samsung,Galaxy S22,2019,30085,-51
Samsung,Galaxy A52,2024,102365,70016
Apple,iPhone 13,2024,7177,4703
Vivo,Vivo V21,2019,47737,4243
Motorola,Moto G71,2020,14137,2331
Motorola,Moto E40,2023,61786,27679
OnePlus,OnePlus Nord,2021,94153,21140
OnePlus,OnePlus 10R,2022,129535,41887
Oppo,Oppo A53,2021,129253,24411
Oppo,Oppo F21,2020,99946,15324
Oppo,Oppo A53,2019,44561,2539
Xiaomi,Mi 10,2024,111905,72990
Samsung,Galaxy S20,2024,54952,39209
Nokia,Nokia G20,2024,96916,63595
Realme,Realme GT,2022,111926,34739
Realme,Realme 8,2023,74764,31338
OnePlus,OnePlus 9,2019,121998,11118
Samsung,Galaxy S21,2018,25267,3819
Nokia,Nokia 5.4,2020,58711,7148
Vivo,Vivo V20,2019,43040,3854
Apple,iPhone 11,2019,94742,6921
OnePlus,OnePlus 9,2020,25262,5588
Apple,iPhone 12,2022,58331,16088
Oppo,Oppo A53,2023,45303,17889
Apple,iPhone 11,2020,45662,3348
OnePlus,OnePlus Nord,2018,102471,7115
Realme,Realme 9,2022,86114,25907
Motorola,Moto G60,2022,86913,24386
Xiaomi,Mi 10,2020,16777,5234
Apple,iPhone 14,2018,14447,-1956
Samsung,Galaxy S21,2021,85470,18998
Vivo,Vivo V21,2021,57361,12164
Realme,Realme Narzo 50,2022,23135,6111
Samsung,Galaxy S20,2021,36509,8557
Nokia,Nokia G20,2022,10230,3894
OnePlus,OnePlus Nord,2020,46691,4943
Oppo,Oppo F21,2020,109666,17301
OnePlus,OnePlus 8,2020,120410,14840
Realme,Realme GT,2018,101728,4767
Apple,iPhone 14,2024,85856,59161
Apple,iPhone 13,2019,59975,5803
Apple,iPhone 13,2020,73183,10545
Xiaomi,Redmi Note 11,2023,109951,47957
Apple,iPhone 12,2024,36194,22794
Motorola,Moto G71,2024,34032,20338
Apple,iPhone 12,2024,46973,30537
OnePlus,OnePlus 10R,2019,62531,6735
Oppo,Oppo F19,2024,31765,19196
Apple,iPhone 12,2023,126476,54506
Realme,Realme GT,2024,57067,39136
Xiaomi,Redmi Note 10,2019,93742,8025
Oppo,Oppo A53,2021,66417,11055
Samsung,Galaxy S22,2019,118810,13584
OnePlus,OnePlus Nord,2022,18274,6784
Apple,iPhone 12,2018,36395,-154
Nokia,Nokia 6.2,2021,121694,25560
Samsung,Galaxy S21,2023,92567,41773
Realme,Realme 9,2019,78830,9621
Motorola,Moto E40,2022,121289,33732
Motorola,Moto E40,2024,30841,20522
Vivo,Vivo X60,2023,64913,28668
Vivo,Vivo X60,2018,52173,1903
Apple,iPhone 14,2018,106548,4179
Oppo,Oppo Reno 6,2024,32628,23875
Oppo,Oppo F21,2024,27328,19423
Motorola,Moto G71,2021,38763,6976
Apple,iPhone 13,2021,72847,16985
Realme,Realme 9,2019,121497,11302
Xiaomi,Mi 10,2023,10543,3543
Xiaomi,Mi 10,2019,24431,3316
Motorola,Moto G60,2024,61645,43525
Realme,Realme 8,2018,61546,3762
OnePlus,OnePlus 10R,2018,65037,5502
Samsung,Galaxy S21,2021,40134,7743
Realme,Realme GT,2018,124033,9883
OnePlus,OnePlus Nord,2018,123769,7866
OnePlus,OnePlus 10R,2023,81981,39615
Samsung,Galaxy S22,2022,91147,28081
Xiaomi,Redmi Note 10,2019,106490,10361
Apple,iPhone 14,2018,79629,2122
Realme,Realme GT,2024,58314,39003
Xiaomi,Mi 10,2019,34373,2388
Apple,iPhone 11,2019,61894,8001
Realme,Realme 8,2019,24868,5264
Vivo,Vivo V21,2021,127456,23557
Vivo,Vivo X60,2019,116975,9887
OnePlus,OnePlus 8,2021,9533,3840
Vivo,Vivo X60,2018,84314,7077
Nokia,Nokia G20,2019,29905,4196
Samsung,Galaxy S21,2023,106406,44888
Oppo,Oppo A53,2022,91496,26589
Oppo,Oppo Reno 6,2018,80625,6770
Xiaomi,Mi 10,2018,58563,2927
Apple,iPhone 11,2020,31696,4722
Vivo,Vivo X60,2023,71880,33071
Realme,Realme 9,2021,110771,22990
OnePlus,OnePlus Nord,2022,40464,10844
Xiaomi,Mi 11X,2020,39369,4716
Xiaomi,Mi 11X,2018,40653,3542
Nokia,Nokia 7.2,2019,126193,11640
OnePlus,OnePlus Nord,2021,17756,5716
Vivo,Vivo V20,2018,64268,1887
Samsung,Galaxy S22,2023,38413,16622
Samsung,Galaxy S20,2024,67091,44852
Oppo,Oppo F21,2019,119797,12715
Samsung,Galaxy S21,2022,91363,30477
Vivo,Vivo V20,2018,7673,-2068
Samsung,Galaxy A52,2020,13203,-1156
Vivo,Vivo Y20,2022,128802,36380
Realme,Realme GT,2019,83590,5730
Nokia,Nokia 6.2,2018,117583,5678
Realme,Realme Narzo 50,2023,89570,40720
Apple,iPhone 12,2020,78096,11462
Samsung,Galaxy S20,2023,48379,22379
Motorola,Moto G71,2022,73479,20902
Oppo,Oppo F21,2018,34239,-395
OnePlus,OnePlus 8,2020,34097,7599
Vivo,Vivo Y20,2019,119395,13143
Oppo,Oppo Reno 6,2019,49531,6167
Oppo,Oppo Reno 6,2020,55820,7516
Xiaomi,Mi 11X,2020,21283,3856
OnePlus,OnePlus 9,2023,112320,51195
Nokia,Nokia 7.2,2020,111242,17526
OnePlus,OnePlus 9,2022,36984,8358
Oppo,Oppo F21,2019,58695,2747
Vivo,Vivo X60,2018,83061,6251
Motorola,Moto G60,2022,110864,36170
Oppo,Oppo Reno 6,2023,36378,18165
Nokia,Nokia 5.4,2021,77751,13541
Xiaomi,Redmi Note 11,2024,54028,37855
Apple,iPhone 14,2019,19424,737
Xiaomi,Mi 10,2020,114575,15532
Vivo,Vivo V20,2021,110490,20092
Apple,iPhone 13,2023,104759,44232
Apple,iPhone 14,2024,105122,72993
Vivo,Vivo V20,2024,104626,71315
Motorola,Moto Edge 20,2022,12855,5755
Apple,iPhone 11,2018,104132,6675
OnePlus,OnePlus 10R,2019,80199,4653
Vivo,Vivo Y20,2024,89169,58764
Xiaomi,Redmi Note 11,2023,81874,35526
Apple,iPhone 11,2018,111141,5182
Samsung,Galaxy S21,2020,73960,8458
OnePlus,OnePlus 10R,2022,74588,19802
Oppo,Oppo F21,2024,50381,33403
Realme,Realme GT,2023,50065,22564
Nokia,Nokia 7.2,2024,127628,84137
Vivo,Vivo V21,2023,58587,29065
OnePlus,OnePlus 10R,2018,8970,-419
Xiaomi,Mi 11X,2024,107234,71696
Oppo,Oppo F19,2023,37640,17367
Vivo,Vivo V20,2024,100285,70225
Xiaomi,Mi 11X,2019,18084,1487
Vivo,Vivo Y20,2018,118593,9734
Nokia,Nokia 7.2,2018,27931,3366
Samsung,Galaxy S20,2018,72294,3076
Motorola,Moto G71,2019,8477,3374
Realme,Realme 8,2019,71785,6884
Samsung,Galaxy A52,2018,97197,3060
Samsung,Galaxy S21,2021,120082,24490
Apple,iPhone 11,2018,101692,7300
OnePlus,OnePlus 9,2022,93188,31097
Xiaomi,Mi 11X,2023,78248,34710
Samsung,Galaxy S21,2024,18245,15000
Vivo,Vivo V20,2019,33603,1275
Xiaomi,Mi 11X,2018,58067,1564
Oppo,Oppo Reno 6,2022,113251,33511
Nokia,Nokia 5.4,2019,8050,637
Samsung,Galaxy S21,2020,30585,5424
Oppo,Oppo F21,2020,59157,8383
Realme,Realme GT,2021,98616,20625
Apple,iPhone 14,2022,85308,27094
Oppo,Oppo A53,2019,18689,1318
Apple,iPhone 13,2024,9944,9452
Apple,iPhone 12,2021,53496,10642
OnePlus,OnePlus Nord,2024,14444,10440
Motorola,Moto G60,2023,65277,30609
Realme,Realme GT,2018,50000,2962
Motorola,Moto G71,2018,11304,752
Motorola,Moto Edge 20,2020,26272,3020
Nokia,Nokia G20,2022,101353,30846
Vivo,Vivo V21,2024,94822,61822
Samsung,Galaxy S20,2023,120410,53346
Nokia,Nokia G20,2020,25540,773
Motorola,Moto G71,2019,47021,1886
Samsung,Galaxy S20,2022,114819,32304
Motorola,Moto G71,2019,26232,3491
OnePlus,OnePlus Nord,2018,64266,1932
Motorola,Moto G60,2023,60808,24498
OnePlus,OnePlus 9,2023,109086,48286
Samsung,Galaxy S21,2021,101694,19528
Samsung,Galaxy S20,2021,11700,2560
OnePlus,OnePlus Nord,2020,73106,10343
OnePlus,OnePlus Nord,2018,33260,877
Vivo,Vivo V21,2018,18393,-869
Oppo,Oppo A53,2022,41681,11556
Samsung,Galaxy S20,2018,126535,7308
Motorola,Moto E40,2021,25651,3426
Nokia,Nokia 5.4,2023,69899,31518
Vivo,Vivo Y20,2018,112928,6023
Realme,Realme GT,2019,101818,11446
Apple,iPhone 14,2021,100507,18970
Motorola,Moto E40,2023,61305,27647
OnePlus,OnePlus 9,2021,25537,4447
Nokia,Nokia G20,2019,79350,4912
Realme,Realme GT,2019,49671,3977
Vivo,Vivo V20,2023,108748,48888
Motorola,Moto G60,2023,108035,50116
Realme,Realme GT,2022,95448,27018
Xiaomi,Mi 11X,2023,127402,59427
Xiaomi,Mi 10,2024,97041,67557
Oppo,Oppo A53,2018,68612,3352
Motorola,Moto E40,2021,20878,3545
Vivo,Vivo V21,2022,18155,5939
Xiaomi,Mi 10,2022,76166,23691
Nokia,Nokia G20,2024,83842,58377
Xiaomi,Redmi Note 11,2020,113020,13023
Samsung,Galaxy S20,2018,37092,1309
Apple,iPhone 14,2024,13494,9349
Realme,Realme Narzo 50,2020,54898,4913
Nokia,Nokia 5.4,2021,74002,14147
Motorola,Moto G71,2018,120255,5636
Realme,Realme 8,2023,91500,43411
Xiaomi,Mi 11X,2020,24131,1198
Samsung,Galaxy A52,2024,29272,20785
Motorola,Moto Edge 20,2018,22513,2702
Nokia,Nokia 6.2,2023,22732,7335
Realme,Realme 8,2021,71581,13599
OnePlus,OnePlus 9,2023,39036,15996
Vivo,Vivo Y20,2022,28937,10596
Nokia,Nokia G20,2022,102240,30693
Oppo,Oppo Reno 6,2018,96540,3625
Xiaomi,Mi 11X,2024,18174,12780
OnePlus,OnePlus Nord,2022,45476,11505
OnePlus,OnePlus 9,2018,100607,6301
OnePlus,OnePlus Nord,2018,25754,3939
Realme,Realme GT,2018,127688,9377
OnePlus,OnePlus 10R,2018,116573,7093
Xiaomi,Redmi Note 10,2018,78410,2783
Xiaomi,Redmi Note 11,2019,24732,1496
OnePlus,OnePlus 9,2018,64777,6120
OnePlus,OnePlus 9,2018,66593,1681
Oppo,Oppo F19,2022,91638,27624
Nokia,Nokia G20,2024,112408,73283
Samsung,Galaxy S22,2022,39524,10281
Motorola,Moto G60,2024,53836,36122
Samsung,Galaxy S21,2018,99521,7113
Apple,iPhone 13,2023,84128,39110
Xiaomi,Redmi Note 11,2022,101699,30260
Xiaomi,Redmi Note 11,2022,7247,905
Realme,Realme GT,2022,54107,19094
Samsung,Galaxy S21,2024,107106,71506
Realme,Realme Narzo 50,2018,127572,9774
Apple,iPhone 12,2022,64973,16811
Realme,Realme 8,2023,46221,18343
Realme,Realme GT,2021,43431,7069
Vivo,Vivo V21,2020,41411,8308
Vivo,Vivo V21,2020,21158,3137
Nokia,Nokia 6.2,2022,50942,14540
Realme,Realme 9,2018,101552,4000
OnePlus,OnePlus 9,2018,113231,7520
Xiaomi,Mi 11X,2023,124679,56105
Apple,iPhone 11,2020,107301,16947
Motorola,Moto Edge 20,2019,119115,11105
OnePlus,OnePlus 10R,2018,66650,5877
Samsung,Galaxy S20,2022,41697,12930
Apple,iPhone 14,2022,95330,28996
Vivo,Vivo V20,2018,57826,4646
OnePlus,OnePlus 8,2024,88071,57224
Apple,iPhone 11,2024,102245,69212
OnePlus,OnePlus 9,2022,64447,18535
Oppo,Oppo F21,2020,93455,15595
OnePlus,OnePlus 8,2020,96820,16103
Nokia,Nokia G20,2018,39371,1691
Oppo,Oppo A53,2023,58467,26555
Motorola,Moto E40,2023,11239,6994
Realme,Realme 9,2019,79442,4388
Oppo,Oppo A53,2018,103608,6552
Nokia,Nokia 6.2,2023,107172,45552
Oppo,Oppo A53,2024,110495,72850
OnePlus,OnePlus 9,2020,74589,10582
Realme,Realme GT,2019,97036,7238
Vivo,Vivo V20,2018,120485,7356
Apple,iPhone 11,2021,83065,18945
Nokia,Nokia G20,2022,70975,19234
Vivo,Vivo X60,2018,72863,4667
Xiaomi,Redmi Note 10,2019,25794,283
Nokia,Nokia 7.2,2019,38980,2770
Vivo,Vivo V20,2018,92965,8448
Oppo,Oppo A53,2020,43011,7255
Samsung,Galaxy S20,2022,118908,34574
Motorola,Moto G71,2021,28500,7135
Motorola,Moto Edge 20,2020,15412,3400
Oppo,Oppo A53,2020,95787,15856
Samsung,Galaxy S22,2023,54776,26567
Samsung,Galaxy S21,2019,60425,4827
Motorola,Moto E40,2020,14145,3695
Xiaomi,Mi 10,2019,114433,13057
Motorola,Moto E40,2021,127276,24428
Apple,iPhone 13,2024,38259,27846
Vivo,Vivo X60,2018,31940,2115
Xiaomi,Mi 10,2018,121502,8401
Realme,Realme 8,2024,15632,13002
Xiaomi,Mi 11X,2022,115595,34075
Xiaomi,Mi 11X,2020,75930,13003
Oppo,Oppo A53,2023,53418,22191
Nokia,Nokia 6.2,2023,86914,40539
Apple,iPhone 13,2024,58142,38359
Samsung,Galaxy S20,2022,121178,34404
Nokia,Nokia 5.4,2019,93478,5612
Apple,iPhone 13,2019,110819,11407
Apple,iPhone 11,2019,40670,1640
Motorola,Moto G71,2019,68539,6718
Vivo,Vivo X60,2020,58841,9811
Apple,iPhone 11,2022,35302,8249
Realme,Realme GT,2022,99232,26988
Xiaomi,Mi 10,2020,101959,11820
Apple,iPhone 13,2022,121728,33836
Realme,Realme GT,2024,24337,16584
Vivo,Vivo Y20,2024,12361,9199
Realme,Realme 8,2019,66632,4944
Apple,iPhone 12,2021,35854,8771
Realme,Realme Narzo 50,2020,28357,1365
Oppo,Oppo F21,2023,47198,18834
Apple,iPhone 14,2018,100525,4500
Realme,Realme 9,2024,79328,55960
Apple,iPhone 11,2019,113440,11959
OnePlus,OnePlus 9,2021,99809,19972
Vivo,Vivo X60,2024,88651,56553
Realme,Realme 9,2019,38326,4040
Realme,Realme Narzo 50,2024,116238,79768
Realme,Realme 9,2024,109169,72697
Apple,iPhone 12,2024,54708,36231
Motorola,Moto G60,2018,74095,2854
Apple,iPhone 14,2018,27040,-1044
Apple,iPhone 13,2024,19950,11158
Samsung,Galaxy S21,2020,87109,13161
Oppo,Oppo Reno 6,2023,39164,17872
Vivo,Vivo Y20,2022,58166,17449
Oppo,Oppo F21,2019,66321,4623
Samsung,Galaxy A52,2018,38769,2052
Realme,Realme 8,2019,123290,11431
Samsung,Galaxy S20,2024,102944,67210
Vivo,Vivo Y20,2021,28418,2961
Samsung,Galaxy S22,2024,124558,82574
Xiaomi,Redmi Note 10,2019,62726,7091
OnePlus,OnePlus Nord,2022,115860,35430
Xiaomi,Mi 10,2020,31278,3360
Vivo,Vivo V20,2019,28785,2176
Vivo,Vivo V20,2019,65873,5937
Nokia,Nokia G20,2018,72602,3399
Motorola,Moto G60,2021,91148,16493
Nokia,Nokia 6.2,2024,31150,19147
Samsung,Galaxy S20,2022,8890,3823
Apple,iPhone 12,2019,114558,12228
Vivo,Vivo X60,2022,16630,3347
OnePlus,OnePlus Nord,2024,32563,20016
Motorola,Moto Edge 20,2023,127978,57398
Nokia,Nokia 5.4,2020,96988,12252
Oppo,Oppo F19,2022,58435,19093
Motorola,Moto Edge 20,2019,40604,5652
Vivo,Vivo Y20,2020,81136,10121
Nokia,Nokia G20,2023,102014,47798
Apple,iPhone 12,2020,67086,6336
Xiaomi,Redmi Note 10,2018,117378,6741
Realme,Realme Narzo 50,2019,20857,737
Oppo,Oppo A53,2022,108923,32476
OnePlus,OnePlus 10R,2019,8844,14
Apple,iPhone 12,2022,34659,8743
Oppo,Oppo F21,2019,81381,5097
Nokia,Nokia 6.2,2018,33493,3337
Realme,Realme 8,2018,113996,8090
Oppo,Oppo F19,2020,34825,6754
Samsung,Galaxy S20,2019,106389,8494
Samsung,Galaxy S20,2018,100006,5621
Oppo,Oppo F19,2019,103912,8238
Vivo,Vivo Y20,2021,90039,20641
OnePlus,OnePlus Nord,2019,104740,11141
Vivo,Vivo X60,2018,75459,4751
Vivo,Vivo V20,2020,19396,509
Apple,iPhone 14,2022,96996,28720
Apple,iPhone 11,2021,67014,16317
Samsung,Galaxy S20,2023,101493,47395
Apple,iPhone 13,2023,57805,25052
Samsung,Galaxy S22,2024,95863,64698
Nokia,Nokia 6.2,2021,19608,6286
Nokia,Nokia G20,2018,61865,6353
Apple,iPhone 13,2022,61787,16262
Nokia,Nokia G20,2018,70016,1586
Motorola,Moto G60,2023,25247,12414
Samsung,Galaxy A52,2021,28614,5142
Motorola,Moto G71,2021,80333,14338
Oppo,Oppo Reno 6,2022,64269,19726
Xiaomi,Redmi Note 11,2018,89146,7856
OnePlus,OnePlus 8,2018,16494,-897
Motorola,Moto G71,2023,65224,29100
Samsung,Galaxy S21,2018,67615,4996
Nokia,Nokia 7.2,2019,23513,405
OnePlus,OnePlus 10R,2020,48593,6866
Realme,Realme Narzo 50,2021,30802,7216
Nokia,Nokia 6.2,2018,82216,6126
Nokia,Nokia 5.4,2018,96189,6428
Nokia,Nokia 5.4,2023,113530,53351
Oppo,Oppo F19,2024,39196,26838
Nokia,Nokia 5.4,2023,30313,12661
Nokia,Nokia 5.4,2024,120672,79517
Realme,Realme GT,2022,114896,34641
Nokia,Nokia 5.4,2021,112621,21359
Nokia,Nokia 5.4,2024,21392,11668
Xiaomi,Mi 11X,2023,97351,45828
Samsung,Galaxy A52,2023,87355,38925
Xiaomi,Redmi Note 10,2020,17941,1448
Realme,Realme 9,2020,69918,11317
OnePlus,OnePlus 10R,2023,72903,34486
Apple,iPhone 13,2024,37538,22907
Apple,iPhone 12,2018,87993,7685
Vivo,Vivo V21,2019,10734,3882
Motorola,Moto G60,2022,102510,33838
OnePlus,OnePlus 10R,2019,13319,1379
Realme,Realme 9,2019,17782,2722
Oppo,Oppo F21,2020,66010,10758
Realme,Realme GT,2018,43747,2581
Samsung,Galaxy S22,2024,18002,10227
Xiaomi,Redmi Note 10,2024,77471,51076
Samsung,Galaxy A52,2019,31707,3789
Apple,iPhone 11,2024,104986,70486
Nokia,Nokia 6.2,2024,119289,77387
Xiaomi,Redmi Note 10,2024,85798,57783
Motorola,Moto G71,2022,70168,19303
Samsung,Galaxy S20,2023,42336,19819
OnePlus,OnePlus Nord,2018,54740,5229
Oppo,Oppo A53,2018,87048,3881
Nokia,Nokia G20,2020,56808,10090
Apple,iPhone 14,2022,27574,7959
Motorola,Moto E40,2023,15373,4838
Realme,Realme Narzo 50,2022,99821,31680
Nokia,Nokia 5.4,2018,15268,3240
Vivo,Vivo V20,2020,56304,7607
Motorola,Moto G71,2022,33091,8753
Oppo,Oppo Reno 6,2019,71460,9030
Realme,Realme 8,2018,44059,962
Oppo,Oppo F21,2022,87243,24243
Nokia,Nokia 7.2,2022,106228,34061
Nokia,Nokia 7.2,2019,7049,344
Nokia,Nokia G20,2021,10553,3126
Motorola,Moto Edge 20,2018,124867,9809
Realme,Realme 8,2021,24844,4176
Realme,Realme GT,2020,106891,15031
Nokia,Nokia 5.4,2019,95259,7608
Realme,Realme 8,2024,105944,73036
Motorola,Moto G60,2019,93023,5715
Oppo,Oppo A53,2022,28830,6624
Samsung,Galaxy S20,2020,107515,13836
Motorola,Moto E40,2019,59622,5260
Samsung,Galaxy S21,2019,10306,1855
Motorola,Moto Edge 20,2024,70500,49248
OnePlus,OnePlus 10R,2024,113588,77473
OnePlus,OnePlus 8,2022,113366,34141
Samsung,Galaxy A52,2021,110512,23565
Motorola,Moto G71,2020,12506,1247
Xiaomi,Redmi Note 11,2020,45119,4340
Vivo,Vivo V20,2020,36280,6700
Apple,iPhone 13,2019,94362,9876
Xiaomi,Redmi Note 11,2023,17665,10712
Realme,Realme GT,2022,31754,7850
Motorola,Moto Edge 20,2023,67034,27774
Realme,Realme Narzo 50,2022,53232,15288
Xiaomi,Redmi Note 11,2018,86913,6033
Xiaomi,Mi 10,2022,68769,20962
Oppo,Oppo Reno 6,2023,33611,17143
Samsung,Galaxy S20,2023,107552,47462
Nokia,Nokia 6.2,2021,16926,3630
Oppo,Oppo F19,2018,104427,5290
Realme,Realme Narzo 50,2019,20154,-803
Oppo,Oppo F21,2022,122373,36252
Vivo,Vivo V20,2020,66461,10989
Nokia,Nokia 7.2,2019,103378,11070
Realme,Realme 9,2023,70206,30498
Oppo,Oppo F19,2018,86689,5060
Xiaomi,Mi 10,2020,22222,2268
Vivo,Vivo X60,2019,43618,4675
Realme,Realme GT,2018,24419,1327
Nokia,Nokia G20,2022,96251,26150
Xiaomi,Redmi Note 11,2021,63278,13094
Nokia,Nokia 5.4,2019,42364,1257
Nokia,Nokia 5.4,2024,102173,66276
Xiaomi,Redmi Note 10,2019,38981,1005
Oppo,Oppo F19,2022,8926,439
Apple,iPhone 11,2018,19765,76
Realme,Realme Narzo 50,2021,47726,8055
Nokia,Nokia 6.2,2019,24353,1226
Samsung,Galaxy A52,2021,107446,24486
Vivo,Vivo V21,2019,116395,11130
Apple,iPhone 12,2022,41154,14523
Xiaomi,Redmi Note 10,2024,59445,37538
Vivo,Vivo X60,2018,32750,1091
Apple,iPhone 14,2024,95008,65776
Oppo,Oppo A53,2021,28014,7042
OnePlus,OnePlus 10R,2023,56225,24549
Samsung,Galaxy S22,2018,56836,506
Apple,iPhone 11,2019,12675,2269
Xiaomi,Mi 11X,2019,13381,-501
Samsung,Galaxy S20,2019,124444,10202
Motorola,Moto E40,2020,73567,11429
Oppo,Oppo F19,2022,49730,13854
OnePlus,OnePlus 10R,2022,77914,20569
Vivo,Vivo Y20,2020,12982,3634
Oppo,Oppo F19,2023,18532,9043
Realme,Realme 9,2020,40457,4168
Motorola,Moto Edge 20,2018,51735,4226
Xiaomi,Mi 10,2018,41595,3760
Vivo,Vivo X60,2022,8936,-137
Nokia,Nokia 6.2,2023,39852,16139
Vivo,Vivo V20,2023,30553,14532
Vivo,Vivo V20,2024,21250,16786
Xiaomi,Mi 10,2023,91680,39263
OnePlus,OnePlus 9,2023,7904,5008
Oppo,Oppo F19,2024,76892,51830
Vivo,Vivo Y20,2021,83203,15616
Xiaomi,Mi 10,2023,27839,13766
OnePlus,OnePlus 10R,2024,8307,7898
Xiaomi,Redmi Note 10,2021,60058,10520
Nokia,Nokia 5.4,2021,34035,4798
Vivo,Vivo Y20,2018,102909,7801
Nokia,Nokia 7.2,2021,119605,24197
Oppo,Oppo Reno 6,2022,60590,20523
Nokia,Nokia 5.4,2018,64753,2223
Vivo,Vivo X60,2021,35182,8211
Samsung,Galaxy S20,2019,45583,2479
Apple,iPhone 14,2024,7405,2958
Motorola,Moto G60,2022,49620,16687
Nokia,Nokia 6.2,2020,9027,640
Samsung,Galaxy S20,2022,26228,6343
Xiaomi,Mi 10,2019,58434,7033
Oppo,Oppo A53,2021,108283,23460
Xiaomi,Redmi Note 10,2019,48994,5240
Motorola,Moto E40,2021,109434,19303
Oppo,Oppo A53,2021,17894,5636
Samsung,Galaxy S20,2024,33884,20733
Xiaomi,Mi 10,2019,52348,2091
Samsung,Galaxy A52,2024,124837,81993
Apple,iPhone 13,2022,109468,31046
Apple,iPhone 13,2019,94653,6514
Realme,Realme 9,2021,54281,11892
Nokia,Nokia 5.4,2022,56115,15493
Motorola,Moto E40,2020,52602,8930
OnePlus,OnePlus 8,2018,40856,1673
Nokia,Nokia G20,2023,128589,57428
Nokia,Nokia 5.4,2018,122671,10303
Nokia,Nokia 7.2,2020,27125,4991
Apple,iPhone 13,2019,89346,6275
OnePlus,OnePlus 10R,2021,102922,20947
Vivo,Vivo Y20,2020,55235,8732
Realme,Realme 8,2022,99107,28587
Realme,Realme Narzo 50,2019,109060,12263
Samsung,Galaxy S21,2019,60925,5568
OnePlus,OnePlus 10R,2024,59116,38573
Oppo,Oppo F21,2018,61621,1128
Samsung,Galaxy S20,2020,120110,13718
Vivo,Vivo V20,2023,56550,26826
Samsung,Galaxy S20,2022,27816,6356
OnePlus,OnePlus Nord,2019,111606,10113
Apple,iPhone 13,2024,98139,68818
Xiaomi,Redmi Note 10,2019,117178,8038
Xiaomi,Mi 10,2019,61717,8144
Motorola,Moto G60,2019,117174,10952
Vivo,Vivo X60,2021,120457,25004
OnePlus,OnePlus Nord,2024,31081,18958
Vivo,Vivo V20,2019,7815,-246
Realme,Realme 8,2023,74957,33585
Oppo,Oppo A53,2023,123479,54066
Nokia,Nokia 7.2,2018,68300,6943
Samsung,Galaxy S20,2022,42363,11390
Motorola,Moto G71,2020,38797,6298
Motorola,Moto Edge 20,2022,126733,39341
Apple,iPhone 12,2023,122582,54022
Apple,iPhone 13,2020,8398,2473
Samsung,Galaxy A52,2019,63710,4748
Xiaomi,Redmi Note 10,2020,102015,12566
Apple,iPhone 14,2021,87804,15721
Realme,Realme 9,2024,11720,6955
Xiaomi,Mi 11X,2024,92296,64312
Samsung,Galaxy S21,2023,58861,23829
Vivo,Vivo V20,2023,78554,36482
Samsung,Galaxy A52,2022,9756,5392
OnePlus,OnePlus 10R,2020,111123,15291
OnePlus,OnePlus 8,2020,126600,18495
Vivo,Vivo Y20,2019,100639,7536
Samsung,Galaxy S21,2021,25123,6668
Motorola,Moto G60,2024,103154,68883
Samsung,Galaxy S20,2019,69154,6672
Nokia,Nokia 6.2,2019,32028,1355
Motorola,Moto G60,2022,74855,20576
Nokia,Nokia G20,2022,36382,12439
Motorola,Moto E40,2018,96518,3295
Oppo,Oppo F21,2024,60542,38610
Realme,Realme GT,2021,123137,25494
Xiaomi,Mi 11X,2023,120877,53662
Realme,Realme 8,2021,58361,9397
OnePlus,OnePlus 8,2024,55010,38671
Samsung,Galaxy S21,2020,115979,18448
Xiaomi,Redmi Note 11,2022,56773,15656
Vivo,Vivo V21,2024,114625,78427
Samsung,Galaxy S22,2018,108951,5670
Samsung,Galaxy A52,2022,17904,4753
Xiaomi,Mi 11X,2020,60057,7237
Xiaomi,Redmi Note 10,2020,78293,10406
Samsung,Galaxy A52,2020,75408,12605
Apple,iPhone 11,2019,18611,4313
Vivo,Vivo V21,2019,16230,-296
Nokia,Nokia 7.2,2023,8712,3342
Realme,Realme 9,2024,31449,20928
Xiaomi,Mi 10,2018,7593,3312
OnePlus,OnePlus Nord,2021,17650,4610
Motorola,Moto G71,2018,57109,5873
Xiaomi,Mi 11X,2023,94912,41506
Motorola,Moto Edge 20,2019,90602,9532
Oppo,Oppo Reno 6,2023,27917,9922
Samsung,Galaxy S20,2018,62368,1340
OnePlus,OnePlus 8,2020,58031,7319
OnePlus,OnePlus 9,2023,105250,46985
Nokia,Nokia 7.2,2018,25787,2588
